Name,General Category,Type,Physical (AP),Magic (AP),Fire (AP),Lightning (AP),Holy (AP),Critical (AP),Stamina,Strength (AS),Dexterity (AS),Intelligence (AS),Faith (AS),Arcane (AS),Passive Effects,Physical (GDN),Magic (GDN),Fire (GDN),Lightning (GDN),Holy (GDN),Guarded Boost (GDN),Rest,Weight (GDN),Upgrade
Bastard's Stars,Hammer/Axe,Flail,159,191,-,-,-,100,106,E,C,B,-,-,-,32,48,24,24,24,20,15,5.5,Somber Smithing Stones
Battle Axe,Hammer/Axe,Axe,301,-,-,-,-,100,112,C,D,-,-,-,-,47,31,31,31,31,37,15,4.5,Smithing Stones
Battle Hammer,Hammer/Axe,Warhammer,320,-,-,-,-,100,194,B,E,-,-,-,-,68,36,36,36,36,52,21,10,Smithing Stones
Beast-Repellent Torch,Torch,Torch,142,-,254,-,-,100,94,B,D,-,-,-,-,23,17,28,17,17,22,14,2.5,Smithing Stones
Beastclaw Greathammer,Hammer/Axe,Warhammer,284,-,-,-,183,100,182,C,C,-,D,-,-,62,33,33,33,45,42,20,9,Somber Smithing Stones
Beastman's Cleaver,Sword,Curved Greatsword,350,-,-,-,-,100,164,B,-,-,-,-,-,81,43,43,43,43,62,25,16.5,Smithing Stones
Beastman's Curved Sword,Sword,Curved Sword,276,-,-,-,-,100,98,B,D,-,-,-,-,44,33,33,33,33,32,11,4,Smithing Stones
Black Bow,Bow,Bow,171,-,-,-,-,100,60,D,D,-,-,-,-,-,-,-,-,-,-,-,4,Somber Smithing Stones
Black Knife,Dagger,Dagger,161,-,-,-,159,110,56,E,B,-,C,-,-,26,15,15,15,42,15,10,2,Somber Smithing Stones
Blade of Calling,Dagger,Dagger,173,-,-,-,105,110,56,D,C,-,B,-,-,31,18,18,18,30,15,10,1.5,Somber Smithing Stones
Blasphemous Blade,Sword,Greatsword,296,-,191,-,-,100,138,C,C,-,B,-,-,72,39,54,39,39,50,24,13.5,Somber Smithing Stones
Bloodhound Claws,Gauntlet,Claw,230,-,-,-,-,110,78,C,D,-,-,-,-60,38,22,22,22,22,26,11,3,Smithing Stones
Bloodhound's Fang,Sword,Curved Greatsword,345,-,-,-,-,100,122,C,B,-,-,-,-55,68,36,36,36,36,44,21,11.5,Somber Smithing Stones
Bloodstained Dagger,Dagger,Dagger,198,-,-,-,-,110,60,B,D,-,-,-,-38,36,21,21,21,21,18,10,2,Smithing Stones
Bloody Helice,Sword,Heavy Thrusting Sword,296,-,-,-,-,100,94,E,C,-,-,B,-55,57,40,40,40,40,34,17,8,Somber Smithing Stones
Bolt of Gransax,Polearm,Spear,240,-,-,154,-,100,88,D,C,-,-,-,-,60,31,31,47,31,40,20,8.5,Somber Smithing Stones
Brick Hammer,Hammer/Axe,Warhammer,298,-,-,-,-,100,218,A,-,-,-,-,-,74,40,40,40,40,57,23,12.5,Smithing Stones
Broadsword,Sword,Straight Sword,286,-,-,-,-,100,94,C,D,-,-,-,-,47,31,31,31,31,37,15,4,Smithing Stones
Butchering Knife,Hammer/Axe,Greataxe,328,-,-,-,-,100,150,E,B,-,-,-,-,58,31,31,31,31,44,18,8.5,Smithing Stones
Caestus,Gauntlet,Fist,220,-,-,-,-,100,100,C,C,-,-,-,-,35,20,20,20,20,24,10,1.5,Smithing Stones
Cane Sword,Sword,Straight Sword,235,-,-,-,-,100,86,D,C,-,-,-,-,41,27,27,27,27,32,13,2.5,Smithing Stones
Carian Glintblade Staff,Glintstone Staff,Glintstone Staff,38,-,-,-,-,100,38,D,D,S,-,-,-,23,14,14,14,14,14,9,2.5,Smithing Stones
Carian Glintstone Staff,Glintstone Staff,Glintstone Staff,43,-,-,-,-,100,40,D,-,S,-,-,-,25,15,15,15,15,15,10,3,Smithing Stones
Carian Knight's Sword,Sword,Straight Sword,215,215,-,-,-,100,90,C,D,D,-,-,-,36,52,26,26,26,31,15,4,Somber Smithing Stones
Carian Regal Scepter,Glintstone Staff,Glintstone Staff,58,-,-,-,-,100,40,D,D,S,-,-,-,25,15,15,15,15,15,10,3,Somber Smithing Stones
Celebrant's Cleaver,Hammer/Axe,Axe,291,-,-,-,-,100,112,C,D,-,-,-,-,47,31,31,31,31,39,15,4.5,Smithing Stones
Celebrant's Rib-Rake,Polearm,Spear,267,-,-,-,-,100,68,D,C,-,-,-,-,40,25,25,25,25,39,15,5,Smithing Stones
Celebrant's Sickle,Dagger,Dagger,193,-,-,-,-,100,56,E,B,-,-,-,-,35,20,20,20,20,18,10,1.5,Smithing Stones
Celebrant's Skull,Hammer/Axe,Warhammer,338,-,-,-,-,100,182,C,C,-,-,-,-,63,34,34,34,34,48,19,8.5,Smithing Stones
Chainlink Flail,Hammer/Axe,Flail,267,-,-,-,-,100,122,B,E,-,-,-,-50,43,28,28,28,28,28,18,8,Smithing Stones
Cinquedea,Dagger,Dagger,240,-,-,-,-,100,68,B,D,-,-,-,-,43,25,25,25,25,18,12,3.5,Somber Smithing Stones
Cipher Pata,Gauntlet,Fist,-,-,-,-,208,100,90,-,-,-,A,-,-,9,14,14,14,61,19,9,0,Somber Smithing Stones
Clawmark Seal,Sacred Seal,Sacred Seal,54,-,-,-,-,100,40,B,-,-,B,-,-,25,15,15,15,15,15,10,1.5,Smithing Stones
Clayman's Harpoon,Polearm,Spear,242,156,-,-,-,100,80,C,E,D,-,-,-,49,38,25,25,25,39,16,5.5,Smithing Stones
Claymore,Sword,Greatsword,338,-,-,-,-,100,126,C,D,-,-,-,-,65,35,35,35,35,50,20,9,Smithing Stones
Cleanrot Knight's Sword,Sword,Thrusting Sword,267,-,-,-,-,100,66,C,D,-,-,-,-,51,34,34,34,34,27,11,4,Smithing Stones
Cleanrot Spear,Polearm,Spear,249,-,-,-,161,100,80,C,C,-,D,-,-,49,25,25,25,38,33,16,5.5,Somber Smithing Stones
Clinging Bone,Gauntlet,Fist,196,58,-,-,-,100,94,E,B,-,-,C,-,31,36,17,17,17,21,10,3,Somber Smithing Stones
Club,Hammer/Axe,Hammer,252,-,-,-,-,100,102,B,-,-,-,-,-,41,27,27,27,27,32,13,3.5,Smithing Stones
Coded Sword,Sword,Straight Sword,-,-,-,-,208,100,76,-,-,-,A,-,-,13,22,22,22,58,27,13,2.5,Somber Smithing Stones
Commander's Standard,Polearm,Halberd,338,-,-,-,-,100,136,B,D,-,-,-,-,64,41,41,41,41,49,17,11.5,Somber Smithing Stones
Composite Bow,Bow,Light Bow,159,-,-,-,-,100,40,E,D,-,-,-,-,-,-,-,-,-,-,-,3,Smithing Stones
Cranial Vessel Candlestand,Hammer/Axe,Warhammer,240,-,240,-,-,100,190,B,D,-,B,-,-,71,37,51,37,37,48,23,12.5,Somber Smithing Stones
Crepus's Black-Key Crossbow,Bow,Crossbow,238,-,-,-,-,100,64,-,-,-,-,-,-,-,-,-,-,-,-,-,5,Somber Smithing Stones
Crescent Moon Axe,Hammer/Axe,Greataxe,357,-,-,-,-,100,156,D,C,-,-,-,-,68,36,36,36,36,52,21,12.5,Smithing Stones
Cross-Naginata,Polearm,Spear,298,-,-,-,-,100,88,D,B,-,-,-,-50,52,32,32,32,32,46,19,8,Smithing Stones
Crystal Knife,Dagger,Dagger,200,129,-,-,-,100,62,C,D,B,-,-,-,32,31,18,18,18,18,10,2,Smithing Stones
Crystal Spear,Polearm,Spear,269,80,-,-,-,100,80,D,B,D,-,-,-,48,33,26,26,26,33,16,5.5,Somber Smithing Stones
Crystal Staff,Glintstone Staff,Glintstone Staff,75,-,-,-,-,100,46,C,-,S,-,-,-,28,17,17,17,17,17,11,4.5,Somber Smithing Stones
Crystal Sword,Sword,Straight Sword,259,166,-,-,-,100,98,C,D,D,-,-,-,44,44,30,30,30,33,16,4.5,Somber Smithing Stones
Curved Club,Hammer/Axe,Hammer,279,-,-,-,-,100,106,C,D,-,-,-,-,45,30,30,30,30,36,15,5,Smithing Stones
Curved Great Club,Hammer/Axe,Warhammer,355,-,-,-,-,100,194,C,D,-,-,-,-,68,36,36,36,36,52,21,10,Smithing Stones
Dagger,Dagger,Dagger,181,-,-,-,-,130,60,D,B,-,-,-,-,35,20,20,20,20,18,10,1.5,Smithing Stones
Dark Moon Greatsword,Sword,Greatsword,200,240,-,-,-,100,126,D,D,B,-,-,-55,57,63,31,31,31,44,21,10,Somber Smithing Stones
Death Ritual Spear,Polearm,Spear,242,156,-,-,-,110,84,D,B,D,-,-,-,54,42,27,27,27,36,18,6.5,Somber Smithing Stones
Death's Poker,Sword,Greatsword,301,88,-,-,-,100,116,C,B,D,-,-,-65,60,39,33,33,33,39,19,8.5,Somber Smithing Stones
Demi-Human Queen's Staff,Glintstone Staff,Glintstone Staff,54,-,-,-,-,100,40,C,-,S,-,-,-,25,15,15,15,15,15,10,3,Smithing Stones
Devourer's Scepter,Hammer/Axe,Warhammer,274,-,169,-,-,100,154,C,C,-,C,-,-,62,33,45,33,33,42,20,11.5,Somber Smithing Stones
Digger's Staff,Glintstone Staff,Glintstone Staff,66,-,-,-,-,100,46,C,-,S,-,-,-,28,17,17,17,17,17,11,4.5,Smithing Stones
Dismounter,Sword,Curved Greatsword,338,-,-,-,-,100,122,C,D,-,-,-,-,65,35,35,35,35,50,20,10,Smithing Stones
Dragon Communion Seal,Sacred Seal,Sacred Seal,61,-,-,-,-,100,40,-,-,-,B,S,-,25,15,15,15,15,15,10,0,Somber Smithing Stones
Dragon Greatclaw,Colossal Weapon,Colossal Weapon,294,-,-,191,-,100,150,C,D,-,-,-,-,66,40,40,52,40,47,23,16,Somber Smithing Stones
Dragon Halberd,Polearm,Halberd,330,-,-,-,-,100,136,B,C,-,-,-,-,58,37,37,50,37,47,16,10.5,Somber Smithing Stones
Dragon King's Cragblade,Sword,Heavy Thrusting Sword,225,-,-,144,-,100,98,D,B,-,-,-,-,46,32,32,46,32,34,17,8,Somber Smithing Stones
Dragonscale Blade,Sword,Katana,269,-,-,-,-,100,90,D,B,-,-,-,-,35,25,25,50,25,30,15,5.5,Somber Smithing Stones
Duelist Greataxe,Colossal Weapon,Colossal Weapon,416,-,-,-,-,100,156,D,C,-,-,-,-,78,47,47,47,47,62,26,20,Smithing Stones
Eclipse Shotel,Sword,Curved Sword,188,-,-,-,188,100,94,D,C,-,C,-,-,35,25,25,25,50,25,10,3,Somber Smithing Stones
Eleonora's Poleblade,Polearm,Twinblade,176,-,176,-,-,100,84,E,C,-,-,D,-55,33,23,47,23,23,28,14,6,Somber Smithing Stones
Envoy's Greathorn,Colossal Weapon,Colossal Weapon,296,-,-,-,191,100,202,C,C,-,D,-,-,70,43,43,43,55,50,25,19.5,Somber Smithing Stones
Envoy's Horn,Hammer/Axe,Hammer,235,-,-,-,151,100,106,C,C,-,C,-,-,38,26,26,26,38,28,14,4,Somber Smithing Stones
Envoy's Long Horn,Hammer/Axe,Warhammer,294,-,-,-,191,100,154,C,D,-,B,-,-,58,31,31,31,42,39,19,9.5,Somber Smithing Stones
Erdsteel Dagger,Dagger,Dagger,164,-,-,-,-,110,60,D,D,-,D,-,-,36,21,21,21,21,18,10,2,Smithing Stones
Erdtree Bow,Bow,Bow,98,-,-,-,122,100,60,E,D,-,D,-,-,-,-,-,-,-,-,-,4,Somber Smithing Stones
Erdtree Greatbow,Bow,Greatbow,147,-,-,-,159,100,150,D,D,-,D,-,-,-,-,-,-,-,-,-,11,Somber Smithing Stones
Erdtree Seal,Sacred Seal,Sacred Seal,61,-,-,-,36,100,40,-,-,-,S,-,-,25,15,15,15,15,15,10,0,Somber Smithing Stones
Estoc,Sword,Thrusting Sword,262,-,-,-,-,100,66,E,B,-,-,-,-,54,36,36,36,36,28,12,4.5,Smithing Stones
Executioner's Greataxe,Hammer/Axe,Greataxe,367,-,-,-,-,115,172,B,E,-,-,-,-,74,40,40,40,40,57,23,15,Smithing Stones
Falchion,Sword,Curved Sword,267,-,-,-,-,100,94,C,C,-,-,-,-,42,31,31,31,31,31,10,3.5,Smithing Stones
Fallingstar Beast Jaw,Colossal Weapon,Colossal Weapon,320,208,-,-,-,100,180,C,C,D,-,-,-,70,55,43,43,43,50,25,21.5,Somber Smithing Stones
Family Heads,Hammer/Axe,Flail,213,137,-,-,-,100,106,D,B,D,-,-,-,37,36,26,26,26,20,15,5.5,Somber Smithing Stones
Finger Seal,Sacred Seal,Sacred Seal,43,-,-,-,-,100,40,D,-,-,S,-,-,25,15,15,15,15,15,10,1.5,Smithing Stones
Flail,Hammer/Axe,Flail,267,-,-,-,-,100,112,D,C,-,-,-,-50,36,24,24,24,24,24,15,5,Smithing Stones
Flamberge,Sword,Greatsword,316,-,-,-,-,100,118,D,B,-,-,-,-55,65,35,35,35,35,50,20,10,Smithing Stones
Flowing Curved Sword,Sword,Curved Sword,267,-,-,-,-,100,94,D,C,-,-,-,-,42,31,31,31,31,31,10,3.5,Smithing Stones
Forked Greatsword,Sword,Greatsword,303,-,-,-,-,100,112,D,C,-,-,-,-55,61,33,33,33,33,46,19,9,Smithing Stones
Forked Hatchet,Hammer/Axe,Axe,247,-,-,-,-,100,106,D,C,-,-,-,-50,40,27,27,27,27,32,13,2.5,Smithing Stones
Frenzied Flame Seal,Sacred Seal,Sacred Seal,61,-,-,-,-,100,40,C,C,C,B,-,-55,25,15,15,15,15,15,10,0,Somber Smithing Stones
Frozen Needle,Sword,Thrusting Sword,242,-,-,-,-,100,60,D,B,-,-,-,-60,40,40,28,28,28,20,10,2.5,Somber Smithing Stones
Full Moon Crossbow,Bow,Crossbow,175,175,-,-,-,100,60,-,-,-,-,-,-,-,-,-,-,-,-,-,4,Somber Smithing Stones
Gargoyle's Black Axe,Hammer/Axe,Greataxe,245,-,-,-,294,100,150,C,E,-,D,-,-,49,27,27,27,54,37,18,8.5,Somber Smithing Stones
Gargoyle's Black Blades,Polearm,Twinblade,198,-,-,-,237,100,100,B,E,-,D,-,-,32,26,26,26,59,32,16,8.5,Somber Smithing Stones
Gargoyle's Black Halberd,Polearm,Halberd,252,-,-,-,301,100,152,C,D,-,D,-,-,54,36,36,36,72,50,18,12,Somber Smithing Stones
Gargoyle's Blackblade,Sword,Greatsword,249,-,-,-,298,100,138,C,D,-,D,-,-,60,33,33,33,66,46,22,11.5,Somber Smithing Stones
Gargoyle's Great Axe,Hammer/Axe,Greataxe,301,-,-,-,-,100,150,B,E,-,-,-,-,58,31,31,31,31,44,18,8.5,Smithing Stones
Gargoyle's Greatsword,Sword,Greatsword,325,-,-,-,-,100,138,B,E,-,-,-,-,71,38,38,38,38,55,22,11.5,Smithing Stones
Gargoyle's Halberd,Polearm,Halberd,320,-,-,-,-,100,152,B,E,-,-,-,-,66,42,42,42,42,60,18,12,Smithing Stones
Gargoyle's Twinblade,Polearm,Twinblade,301,-,-,-,-,100,100,B,E,-,-,-,-,48,32,32,32,32,38,16,8.5,Smithing Stones
Gelmir Glintstone Staff,Glintstone Staff,Glintstone Staff,50,-,-,-,-,100,38,D,-,B,B,-,-,23,14,14,14,14,14,9,2.5,Smithing Stones
Ghiza's Wheel,Colossal Weapon,Colossal Weapon,382,-,-,-,-,100,184,C,C,-,-,-,-70,73,43,43,43,43,48,24,19,Somber Smithing Stones
Ghostflame Torch,Torch,Torch,122,220,-,-,-,100,104,D,D,C,-,-,-65,21,42,13,13,13,22,14,2.5,Smithing Stones
Giant's Red Braid,Whip,Whip,200,-,129,-,-,100,88,B,D,-,B,-,-,24,12,26,12,12,15,10,2.5,Somber Smithing Stones
Giant's Seal,Sacred Seal,Sacred Seal,43,-,-,-,-,100,40,D,-,-,S,-,-,25,15,15,15,15,15,10,1.5,Smithing Stones
Giant-Crusher,Colossal Weapon,Colossal Weapon,379,-,-,-,-,100,224,B,-,-,-,-,-,88,52,52,52,52,69,29,26.5,Smithing Stones
Glaive,Polearm,Halberd,323,-,-,-,-,100,128,C,C,-,-,-,-,60,38,38,38,38,55,16,10,Smithing Stones
Glintstone Kris,Dagger,Dagger,139,166,-,-,-,110,56,E,C,C,-,-,-,23,45,14,14,14,15,10,1.5,Somber Smithing Stones
Glintstone Staff,Glintstone Staff,Glintstone Staff,43,-,-,-,-,100,40,D,-,S,-,-,-,25,15,15,15,15,15,10,3,Smithing Stones
Godskin Peeler,Polearm,Twinblade,296,-,-,-,-,100,90,D,B,-,-,-,-,47,31,31,31,31,37,15,8,Smithing Stones
Godskin Stitcher,Sword,Heavy Thrusting Sword,311,-,-,-,-,100,94,C,C,-,-,-,-,55,38,38,38,38,39,16,7,Smithing Stones
Godslayer's Greatsword,Sword,Colossal Sword,291,-,188,-,-,100,120,D,B,-,C,-,-,63,38,49,38,38,45,22,17.5,Somber Smithing Stones
Godslayer's Seal,Sacred Seal,Sacred Seal,43,-,-,-,-,100,40,D,-,-,S,-,-,25,15,15,15,15,15,10,1.5,Smithing Stones
Golden Epitaph,Sword,Straight Sword,208,-,-,-,208,100,90,D,D,-,C,-,-,25,15,15,15,40,30,15,3.5,Somber Smithing Stones
Golden Halberd,Polearm,Halberd,328,-,-,-,213,100,152,B,D,-,D,-,-,65,41,41,41,56,52,18,13.5,Somber Smithing Stones
Golden Order Greatsword,Sword,Greatsword,210,-,-,-,252,100,118,E,D,-,B,-,-,55,30,30,30,60,42,20,10,Somber Smithing Stones
Golden Order Seal,Sacred Seal,Sacred Seal,58,-,-,-,-,100,40,-,-,A,A,-,-,25,15,15,15,15,15,10,0,Somber Smithing Stones
Golem Greatbow,Bow,Greatbow,318,-,-,-,-,100,150,C,D,-,-,-,-,-,-,-,-,-,-,-,14.5,Somber Smithing Stones
Golem's Halberd,Colossal Weapon,Colossal Weapon,387,-,-,-,-,100,134,C,D,-,-,-,-,75,45,45,45,45,60,25,21.5,Smithing Stones
Grafted Blade Greatsword,Sword,Colossal Sword,396,-,-,-,-,100,160,B,D,-,-,-,-,80,48,48,48,48,53,26,21,Somber Smithing Stones
Grafted Dragon,Gauntlet,Fist,218,-,139,-,-,100,104,C,D,-,D,-,-,27,18,44,18,18,22,11,2.5,Somber Smithing Stones
Grave Scythe,Polearm,Reaper,352,-,-,-,-,100,120,C,D,-,-,-,-55,49,33,33,33,33,39,16,9.5,Smithing Stones
Gravel Stone Seal,Sacred Seal,Sacred Seal,43,-,-,-,-,100,40,D,-,-,S,-,-,25,15,15,15,15,15,10,1.5,Smithing Stones
Great Club,Colossal Weapon,Colossal Weapon,377,-,-,-,-,100,190,B,-,-,-,-,-,71,42,42,42,42,56,23,17,Smithing Stones
Great Knife,Dagger,Dagger,183,-,-,-,-,110,60,E,B,-,-,-,-38,35,20,20,20,20,18,10,1.5,Smithing Stones
Great Mace,Hammer/Axe,Warhammer,328,-,-,-,-,100,200,B,-,-,-,-,-,71,38,38,38,38,55,22,11.5,Smithing Stones
Great Omenkiller Cleaver,Hammer/Axe,Greataxe,347,-,-,-,-,100,150,C,D,-,-,-,-55,63,33,33,33,45,50,20,11,Smithing Stones
Great Stars,Hammer/Axe,Warhammer,330,-,-,-,-,100,182,C,D,-,-,-,-55,68,36,36,36,36,52,21,10,Smithing Stones
Great epee,Sword,Heavy Thrusting Sword,303,-,-,-,-,124,94,D,C,-,-,-,-,52,36,36,36,36,37,15,6.5,Smithing Stones
Greataxe,Hammer/Axe,Greataxe,369,-,-,-,-,100,168,C,D,-,-,-,-,69,37,37,37,37,54,21,13,Smithing Stones
Greatbow,Bow,Greatbow,306,-,-,-,-,100,150,D,D,-,-,-,-,-,-,-,-,-,-,-,10,Smithing Stones
Greathorn Hammer,Hammer/Axe,Warhammer,328,-,-,-,-,100,172,C,D,-,-,-,-,65,35,35,35,35,50,20,10,Smithing Stones
Greatsword,Sword,Colossal Sword,401,-,-,-,-,100,156,B,D,-,-,-,-,84,50,50,50,50,67,28,23,Smithing Stones
Grossmesser,Sword,Curved Sword,281,-,-,-,-,100,98,C,D,-,-,-,-,46,34,34,34,34,33,11,4.5,Smithing Stones
Guardian's Swordspear,Polearm,Halberd,340,-,-,-,-,100,128,E,B,-,-,-,-,57,36,36,36,36,52,15,9,Smithing Stones
Halberd,Polearm,Halberd,306,-,-,-,-,100,122,C,D,-,-,-,-,55,35,35,35,35,50,15,8,Smithing Stones
Halo Scythe,Polearm,Reaper,289,-,-,-,186,100,114,D,C,-,D,-,-55,42,29,29,29,42,31,15,8.5,Somber Smithing Stones
Hammer,Hammer/Axe,Hammer,303,-,-,-,-,100,116,C,D,-,-,-,-,51,34,34,34,34,43,17,6.5,Smithing Stones
Hand Axe,Hammer/Axe,Axe,276,-,-,-,-,100,106,D,C,-,-,-,-,42,28,28,28,28,33,14,3.5,Smithing Stones
Hand Ballista,Ballista,Ballista,600,-,-,-,-,100,150,-,-,-,-,-,-,-,-,-,-,-,-,-,10,Smithing Stones
Hand of Malenia,Sword,Katana,286,-,-,-,-,100,90,E,B,-,-,-,-50,49,33,33,33,33,33,16,7,Somber Smithing Stones
Harp Bow,Bow,Light Bow,151,-,-,-,-,100,40,E,D,-,-,-,-,-,-,-,-,-,-,-,2,Somber Smithing Stones
Heavy Crossbow,Bow,Crossbow,288,-,-,-,-,100,66,-,-,-,-,-,-,-,-,-,-,-,-,-,5.5,Smithing Stones
Helphen's Steeple,Sword,Greatsword,247,247,-,-,-,100,132,C,E,B,-,-,-,66,60,33,33,33,46,22,11.5,Somber Smithing Stones
Highland Axe,Hammer/Axe,Axe,301,-,-,-,-,110,112,C,D,-,-,-,-,47,31,31,31,31,37,15,4.5,Smithing Stones
Hookclaws,Gauntlet,Claw,218,-,-,-,-,110,72,D,B,-,-,-,-60,35,20,20,20,20,24,10,2,Smithing Stones
Horn Bow,Bow,Bow,159,73,-,-,-,100,60,D,D,E,-,-,-,-,-,-,-,-,-,-,4.5,Smithing Stones
Hoslow's Petal Whip,Whip,Whip,269,-,-,-,-,100,92,D,C,-,-,-,-55,28,17,17,17,17,20,11,3.5,Smithing Stones
Icerind Hatchet,Hammer/Axe,Axe,271,-,-,-,-,100,94,D,B,-,-,-,-65,40,27,27,27,27,27,13,3,Somber Smithing Stones
Inquisitor's Girandole,Polearm,Spear,249,-,161,-,-,100,88,C,C,-,B,-,-50,56,28,43,28,28,37,18,7.5,Somber Smithing Stones
Inseparable Sword,Sword,Straight Sword,240,-,-,-,240,100,132,D,D,-,B,-,-,59,34,34,34,52,44,21,10,Somber Smithing Stones
Iron Ball,Gauntlet,Fist,247,-,-,-,-,100,110,C,D,-,-,-,-,38,22,22,22,22,26,11,2.5,Smithing Stones
Iron Cleaver,Hammer/Axe,Axe,294,-,-,-,-,100,122,B,D,-,-,-,-,51,34,34,34,34,40,17,6,Smithing Stones
Iron Greatsword,Sword,Greatsword,365,-,-,-,-,100,140,B,E,-,-,-,-,73,39,39,39,39,56,22,12,Smithing Stones
Iron Spear,Polearm,Spear,279,-,-,-,-,100,80,C,D,-,-,-,-,42,26,26,26,26,37,15,4.5,Smithing Stones
Ivory Sickle,Dagger,Dagger,147,147,-,-,-,100,56,D,C,C,-,-,-,26,42,15,15,15,18,10,2,Smithing Stones
Jar Cannon,Ballista,Ballista,672,-,-,-,-,100,180,-,-,-,-,-,-,-,-,-,-,-,-,-,15,Somber Smithing Stones
Jawbone Axe,Hammer/Axe,Axe,303,-,-,-,-,100,122,C,D,-,-,-,-,49,33,33,33,33,43,16,5.5,Smithing Stones
Katar,Gauntlet,Fist,237,-,-,-,-,110,100,D,C,-,-,-,-,36,21,21,21,21,25,10,2.5,Smithing Stones
Knight's Greatsword,Sword,Greatsword,345,-,-,-,-,100,126,D,C,-,-,-,-,68,36,36,36,36,52,21,10,Smithing Stones
Lance,Polearm,Great Spear,301,-,-,-,-,100,122,C,C,-,-,-,-,57,36,36,36,36,52,21,9,Smithing Stones
Large Club,Hammer/Axe,Warhammer,320,-,-,-,-,100,154,B,-,-,-,-,-,60,32,32,32,32,45,18,8.5,Smithing Stones
Lazuli Glintstone Sword,Sword,Straight Sword,193,230,-,-,-,100,94,C,D,D,-,-,-,30,55,25,25,25,30,15,3.5,Somber Smithing Stones
Light Crossbow,Bow,Crossbow,260,-,-,-,-,100,60,-,-,-,-,-,-,-,-,-,-,-,-,-,4,Smithing Stones
Lion Greatbow,Bow,Greatbow,294,-,-,-,-,100,150,D,D,-,-,-,-,-,-,-,-,-,-,-,9.5,Somber Smithing Stones
Longbow,Bow,Bow,196,-,-,-,-,100,60,D,D,-,-,-,-,-,-,-,-,-,-,-,4,Smithing Stones
Longhaft Axe,Hammer/Axe,Greataxe,357,-,-,-,-,100,156,C,D,-,-,-,-,68,36,36,36,36,52,21,12.5,Smithing Stones
Longsword,Sword,Straight Sword,269,-,-,-,-,100,90,C,D,-,-,-,-,45,30,30,30,30,36,15,3.5,Smithing Stones
Lordsworn's Greatsword,Sword,Greatsword,333,-,-,-,-,110,126,C,D,-,-,-,-,65,35,35,35,35,50,20,9,Smithing Stones
Lordsworn's Straight Sword,Sword,Straight Sword,281,-,-,-,-,110,90,D,D,-,-,-,-,45,30,30,30,30,36,15,3.5,Smithing Stones
Loretta's War Sickle,Polearm,Halberd,269,173,-,-,-,100,128,C,C,C,-,-,-,57,49,36,36,36,46,16,10,Somber Smithing Stones
Lucerne,Polearm,Halberd,296,-,-,-,-,100,122,D,B,-,-,-,-,52,33,33,33,33,46,14,7,Smithing Stones
Lusat's Glintstone Staff,Glintstone Staff,Glintstone Staff,58,-,-,-,-,100,42,C,-,S,-,-,-,25,15,15,15,15,15,10,4,Somber Smithing Stones
